month,gx,gy,day_type,hour,avg_total_users,avg_users_under_10min,avg_users_10_30min,avg_users_over_30min,sex_1,sex_2,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_other,city_keelung,city_taipei,city_newtaipei,city_taoyuan,city_hsinchu_city,city_hsinchu_county,city_miaoli,city_taichung,city_changhua,city_nantou,city_yunlin,city_chiayi_city,city_chiayi_county,city_tainan,city_kaohsiung,city_pingtung,city_yilan,city_hualien,city_taitung,city_penghu,city_kinmen,city_lienchiang
202412,7165,7152,假日,0,20.67,1,7,12.67,54.42,45.58,1.43,3.49,6.68,6.59,11.9,4.84,11.92,8.46,17.43,27.27,69.54,7.19,10.8,2.67,1.14,1.31,0,1.97,0,1.14,0,0,0.48,0,0.93,0,1.12,1.72,0,0,0,0
202412,7165,7153,假日,0,105.22,43.44,18.11,43.67,63.98,36.02,0.58,6.73,9.96,8.75,6.39,8.05,10.69,10.63,11.44,26.79,65.15,8.54,13.62,3.04,0.76,0.55,0.43,1.96,0.42,0.11,0.11,0.53,0.22,0.79,0.75,0.11,1.52,0.59,0.21,0.43,0,0.14
202412,7165,7154,假日,0,83,34.56,14.67,33.78,61.18,38.82,1.46,7.29,8.01,9.79,7.51,6.49,9.67,11.63,9.8,28.35,66.81,8.17,11.24,3.47,0.53,1.62,0.27,1.36,0.36,0.23,0,0,0.53,1.57,1.64,0.45,0.55,0.27,0.23,0,0,0.69
202412,7166,7150,假日,0,18.11,1.78,3.11,13.22,57.41,42.59,1.81,2.14,5.48,9.59,2.97,7.41,13.17,12.94,13.63,30.88,80.58,5.37,2.12,1.12,2.22,0.62,0,1.78,0,0,0,0,0.65,0,1.04,0,3.22,0.62,0,0.65,0,0
202412,7166,7151,假日,0,28.11,12.78,3.56,11.78,61.14,38.86,1.85,7,6.67,7.1,3.48,3.61,12.11,15.19,10.44,32.54,70.11,5.52,9.93,2.63,0.72,1.23,0,1.53,0,0.69,0.82,0.37,0.41,0.31,1.01,0.31,2.86,0.88,0.28,0,0,0.37
202412,7166,7152,假日,0,41.89,23.44,5,13.44,63.68,36.32,1.08,5.9,8.39,7.56,7.61,6.47,10.79,12.52,9.39,30.31,66.3,4.1,10.05,2.1,1.14,1.73,0,3.43,0.41,1.01,0.56,0,0.23,0.67,3.67,0,3.06,0.21,0.79,0,0,0.56
202412,7166,7153,假日,0,25,5.89,5.22,13.89,58.43,41.57,0.77,6.34,8.61,5.2,5.9,4.52,17.23,11.05,12.61,27.76,69.62,5.4,12.07,2.97,1.55,0.95,0.32,2.58,0.4,0,0,0,0.4,1.57,0.71,0.82,0.32,0.32,0,0,0,0
202412,7167,7149,假日,0,46.56,2.56,5.33,38.67,49.92,50.08,1.02,8.02,7.97,6.09,8.65,5.07,8.54,13.03,8.81,32.8,81.48,2.11,4.55,0.82,0.63,0.61,0,3.76,0.26,0,0,1.74,0.2,0.2,1.24,0.2,0,1.39,0.35,0.2,0,0.26
202412,7167,7150,假日,0,119.11,84,16.33,18.78,60.35,39.65,2.89,5.9,9.96,11.5,8.99,6.84,9.28,9.12,9.19,26.32,73.52,3.56,10.07,3.71,0.43,0.78,0.29,2.31,0.45,0.07,0.12,0.19,0.09,0.47,0.73,0.27,2.16,0.17,0.18,0.16,0,0.16
202412,7167,7151,假日,0,31,13.89,4.78,12.33,62.6,37.4,1.31,5.91,9.53,7.18,8.36,10.24,10.26,10.41,11.67,25.12,76.89,4.67,6.89,3.65,0.29,0.76,0.25,2.11,0,0.55,0,0,0,0.37,2.16,0,1.11,0.3,0,0,0,0
